ref,line_index
"Minchat Ani on Torah, Tazria 10",301
"Minchat Ani on Torah, Tazria 11",302
"Minchat Ani on Torah, Tazria 12",303
"Minchat Ani on Torah, Tazria 13",304
"Minchat Ani on Torah, Tazria 14",305
"Minchat Ani on Torah, Metzora 1",307
"Minchat Ani on Torah, Metzora 2",308
"Minchat Ani on Torah, Metzora 3",309
"Minchat Ani on Torah, Metzora 4",310
"Minchat Ani on Torah, Metzora 5",311
"Minchat Ani on Torah, Metzora 6",312
"Minchat Ani on Torah, Metzora 7",313
"Minchat Ani on Torah, Metzora 8",314
"Minchat Ani on Torah, Metzora 9",315
"Minchat Ani on Torah, Metzora 10",316
"Minchat Ani on Torah, Metzora 11",317
"Minchat Ani on Torah, Metzora 12",318
"Minchat Ani on Torah, Achrei Mot 1",320
"Minchat Ani on Torah, Achrei Mot 2",321
"Minchat Ani on Torah, Achrei Mot 3",322
"Minchat Ani on Torah, Achrei Mot 4",323
"Minchat Ani on Torah, Achrei Mot 5",324
"Minchat Ani on Torah, Achrei Mot 6",325
"Minchat Ani on Torah, Achrei Mot 7",326
"Minchat Ani on Torah, Achrei Mot 8",327
"Minchat Ani on Torah, Achrei Mot 9",328
"Minchat Ani on Torah, Achrei Mot 10",329
"Minchat Ani on Torah, Achrei Mot 11",330
"Minchat Ani on Torah, Achrei Mot 12",331
"Minchat Ani on Torah, Kedoshim 1",333
"Minchat Ani on Torah, Kedoshim 2",334
"Minchat Ani on Torah, Kedoshim 3",335
"Minchat Ani on Torah, Kedoshim 4",336
"Minchat Ani on Torah, Kedoshim 5",337
"Minchat Ani on Torah, Kedoshim 6",338
"Minchat Ani on Torah, Kedoshim 7",339
"Minchat Ani on Torah, Kedoshim 8",340
"Minchat Ani on Torah, Kedoshim 9",341
"Minchat Ani on Torah, Kedoshim 10",342
"Minchat Ani on Torah, Kedoshim 11",343
"Minchat Ani on Torah, Kedoshim 12",344
"Minchat Ani on Torah, Kedoshim 13",345
"Minchat Ani on Torah, Kedoshim 14",346
"Minchat Ani on Torah, Kedoshim 15",347
"Minchat Ani on Torah, Kedoshim 16",348
"Minchat Ani on Torah, Kedoshim 17",349
"Minchat Ani on Torah, Kedoshim 18",350
"Minchat Ani on Torah, Emor 1",352
"Minchat Ani on Torah, Emor 2",353
"Minchat Ani on Torah, Emor 3",354
"Minchat Ani on Torah, Emor 4",355
"Minchat Ani on Torah, Emor 5",356
"Minchat Ani on Torah, Emor 6",357
"Minchat Ani on Torah, Emor 7",358
"Minchat Ani on Torah, Emor 8",359
"Minchat Ani on Torah, Emor 9",360
"Minchat Ani on Torah, Emor 10",361
"Minchat Ani on Torah, Emor 11",362
"Minchat Ani on Torah, Emor 12",363
"Minchat Ani on Torah, Emor 13",364
"Minchat Ani on Torah, Emor 14",365
"Minchat Ani on Torah, Emor 15",366
"Minchat Ani on Torah, Emor 16",367
"Minchat Ani on Torah, Emor 17",368
"Minchat Ani on Torah, Emor 18",369
"Minchat Ani on Torah, Emor 19",370
"Minchat Ani on Torah, Emor 20",371
"Minchat Ani on Torah, Emor 21",372
"Minchat Ani on Torah, Emor 22",373
"Minchat Ani on Torah, Emor 23",374
"Minchat Ani on Torah, Emor 24",375
"Minchat Ani on Torah, Emor 25",376
"Minchat Ani on Torah, Emor 26",377
"Minchat Ani on Torah, Emor 27",378
"Minchat Ani on Torah, Emor 28",379
"Minchat Ani on Torah, Behar 1",381
"Minchat Ani on Torah, Behar 2",382
"Minchat Ani on Torah, Behar 3",383
"Minchat Ani on Torah, Behar 4",384
"Minchat Ani on Torah, Behar 5",385
"Minchat Ani on Torah, Behar 6",386
"Minchat Ani on Torah, Behar 7",387
"Minchat Ani on Torah, Behar 8",388
"Minchat Ani on Torah, Behar 9",389
"Minchat Ani on Torah, Behar 10",390
"Minchat Ani on Torah, Behar 11",391
"Minchat Ani on Torah, Behar 12",392
"Minchat Ani on Torah, Behar 13",393
"Minchat Ani on Torah, Behar 14",394
"Minchat Ani on Torah, Behar 15",395
"Minchat Ani on Torah, Behar 16",396
"Minchat Ani on Torah, Behar 17",397
"Minchat Ani on Torah, Behar 18",398
"Minchat Ani on Torah, Behar 19",399
"Minchat Ani on Torah, Behar 20",400
"Minchat Ani on Torah, Behar 21",401
"Minchat Ani on Torah, Behar 22",402
"Minchat Ani on Torah, Bechukotai 1",404
"Minchat Ani on Torah, Bechukotai 2",405
"Minchat Ani on Torah, Bechukotai 3",406
"Minchat Ani on Torah, Bechukotai 4",407
"Minchat Ani on Torah, Bechukotai 5",408
"Minchat Ani on Torah, Bechukotai 6",409
"Minchat Ani on Torah, Bechukotai 7",410
"Minchat Ani on Torah, Bechukotai 8",411
"Minchat Ani on Torah, Bechukotai 9",412
"Minchat Ani on Torah, Bechukotai 10",413
"Minchat Ani on Torah, Bechukotai 11",414
"Minchat Ani on Torah, Bechukotai 12",415
"Minchat Ani on Torah, Bechukotai 13",416
"Minchat Ani on Torah, Bechukotai 14",417
"Minchat Ani on Torah, Bechukotai 15",418
"Minchat Ani on Torah, Bechukotai 16",419
"Minchat Ani on Torah, Bechukotai 17",420
"Minchat Ani on Torah, Bechukotai 18",421
"Minchat Ani on Torah, Bechukotai 19",422
"Minchat Ani on Torah, Bamidbar 1",424
"Minchat Ani on Torah, Bamidbar 2",425
"Minchat Ani on Torah, Bamidbar 3",426
"Minchat Ani on Torah, Bamidbar 4",427
"Minchat Ani on Torah, Bamidbar 5",428
"Minchat Ani on Torah, Bamidbar 6",429
"Minchat Ani on Torah, Bamidbar 7",430
"Minchat Ani on Torah, Bamidbar 8",431
"Minchat Ani on Torah, Bamidbar 9",432
"Minchat Ani on Torah, Bamidbar 10",433
"Minchat Ani on Torah, Bamidbar 11",434
"Minchat Ani on Torah, Bamidbar 12",435
"Minchat Ani on Torah, Bamidbar 13",436
"Minchat Ani on Torah, Bamidbar 14",437
"Minchat Ani on Torah, Bamidbar 15",438
"Minchat Ani on Torah, Bamidbar 16",439
"Minchat Ani on Torah, Bamidbar 17",440
"Minchat Ani on Torah, Bamidbar 18",441
"Minchat Ani on Torah, Bamidbar 19",442
"Minchat Ani on Torah, Bamidbar 20",443
"Minchat Ani on Torah, Bamidbar 21",444
"Minchat Ani on Torah, Nasso 1",446
"Minchat Ani on Torah, Nasso 2",447
"Minchat Ani on Torah, Nasso 3",448
"Minchat Ani on Torah, Nasso 4",449
"Minchat Ani on Torah, Nasso 5",450
"Minchat Ani on Torah, Nasso 6",451
"Minchat Ani on Torah, Nasso 7",452
"Minchat Ani on Torah, Nasso 8",453
"Minchat Ani on Torah, Nasso 9",454
"Minchat Ani on Torah, Nasso 10",455
"Minchat Ani on Torah, Nasso 11",456
"Minchat Ani on Torah, Nasso 12",457
"Minchat Ani on Torah, Nasso 13",458
"Minchat Ani on Torah, Nasso 14",459
"Minchat Ani on Torah, Nasso 15",460
"Minchat Ani on Torah, Nasso 16",461
"Minchat Ani on Torah, Nasso 17",462
"Minchat Ani on Torah, Beha'alotcha 1",464
"Minchat Ani on Torah, Beha'alotcha 2",465
"Minchat Ani on Torah, Beha'alotcha 3",466
"Minchat Ani on Torah, Beha'alotcha 4",467
"Minchat Ani on Torah, Beha'alotcha 5",468
"Minchat Ani on Torah, Beha'alotcha 6",469
"Minchat Ani on Torah, Beha'alotcha 7",470
"Minchat Ani on Torah, Beha'alotcha 8",471
"Minchat Ani on Torah, Beha'alotcha 9",472
"Minchat Ani on Torah, Beha'alotcha 10",473
"Minchat Ani on Torah, Beha'alotcha 11",474
"Minchat Ani on Torah, Beha'alotcha 12",475
"Minchat Ani on Torah, Beha'alotcha 13",476
"Minchat Ani on Torah, Beha'alotcha 14",477
"Minchat Ani on Torah, Beha'alotcha 15",478
"Minchat Ani on Torah, Beha'alotcha 16",479
"Minchat Ani on Torah, Beha'alotcha 17",480
"Minchat Ani on Torah, Beha'alotcha 18",481
"Minchat Ani on Torah, Beha'alotcha 19",482
"Minchat Ani on Torah, Beha'alotcha 20",483
"Minchat Ani on Torah, Sh'lach 1",485
"Minchat Ani on Torah, Sh'lach 2",486
"Minchat Ani on Torah, Sh'lach 3",487
"Minchat Ani on Torah, Sh'lach 4",488
"Minchat Ani on Torah, Sh'lach 5",489
"Minchat Ani on Torah, Sh'lach 6",490
"Minchat Ani on Torah, Sh'lach 7",491
"Minchat Ani on Torah, Sh'lach 8",492
"Minchat Ani on Torah, Sh'lach 9",493
"Minchat Ani on Torah, Sh'lach 10",494
"Minchat Ani on Torah, Sh'lach 11",495
"Minchat Ani on Torah, Korach 1",497
"Minchat Ani on Torah, Korach 2",498
"Minchat Ani on Torah, Korach 3",499
"Minchat Ani on Torah, Korach 4",500
"Minchat Ani on Torah, Korach 5",501
"Minchat Ani on Torah, Korach 6",502
"Minchat Ani on Torah, Korach 7",503
"Minchat Ani on Torah, Korach 8",504
"Minchat Ani on Torah, Korach 9",505
"Minchat Ani on Torah, Korach 10",506
"Minchat Ani on Torah, Korach 11",507
"Minchat Ani on Torah, Korach 12",508
"Minchat Ani on Torah, Korach 13",509
"Minchat Ani on Torah, Korach 14",510
"Minchat Ani on Torah, Korach 15",511
"Minchat Ani on Torah, Korach 16",512
"Minchat Ani on Torah, Korach 17",513
"Minchat Ani on Torah, Korach 18",514
"Minchat Ani on Torah, Korach 19",515
"Minchat Ani on Torah, Korach 20",516
"Minchat Ani on Torah, Korach 21",517
"Minchat Ani on Torah, Chukat 1",519
"Minchat Ani on Torah, Chukat 2",520
"Minchat Ani on Torah, Chukat 3",521
"Minchat Ani on Torah, Chukat 4",522
"Minchat Ani on Torah, Chukat 5",523
"Minchat Ani on Torah, Chukat 6",524
"Minchat Ani on Torah, Chukat 7",525
"Minchat Ani on Torah, Balak 1",527
"Minchat Ani on Torah, Balak 2",528
"Minchat Ani on Torah, Balak 3",529
"Minchat Ani on Torah, Balak 4",530
"Minchat Ani on Torah, Balak 5",531
"Minchat Ani on Torah, Balak 6",532
"Minchat Ani on Torah, Balak 7",533
"Minchat Ani on Torah, Balak 8",534
"Minchat Ani on Torah, Pinchas 1",536
"Minchat Ani on Torah, Pinchas 2",537
"Minchat Ani on Torah, Pinchas 3",538
"Minchat Ani on Torah, Pinchas 4",539
"Minchat Ani on Torah, Pinchas 5",540
"Minchat Ani on Torah, Pinchas 6",541
"Minchat Ani on Torah, Pinchas 7",542
"Minchat Ani on Torah, Pinchas 8",543
"Minchat Ani on Torah, Pinchas 9",544
"Minchat Ani on Torah, Pinchas 10",545
"Minchat Ani on Torah, Pinchas 11",546
"Minchat Ani on Torah, Pinchas 12",547
"Minchat Ani on Torah, Pinchas 13",548
"Minchat Ani on Torah, Pinchas 14",549
"Minchat Ani on Torah, Matot 1",551
"Minchat Ani on Torah, Matot 2",552
"Minchat Ani on Torah, Matot 3",553
"Minchat Ani on Torah, Matot 4",554
"Minchat Ani on Torah, Matot 5",555
"Minchat Ani on Torah, Matot 6",556
"Minchat Ani on Torah, Matot 7",557
"Minchat Ani on Torah, Matot 8",558
"Minchat Ani on Torah, Matot 9",559
"Minchat Ani on Torah, Matot 10",560
"Minchat Ani on Torah, Matot 11",561
"Minchat Ani on Torah, Masei 1",563
"Minchat Ani on Torah, Masei 2",564
"Minchat Ani on Torah, Masei 3",565
"Minchat Ani on Torah, Masei 4",566
"Minchat Ani on Torah, Masei 5",567
"Minchat Ani on Torah, Masei 6",568
"Minchat Ani on Torah, Masei 7",569
"Minchat Ani on Torah, Masei 8",570
"Minchat Ani on Torah, Masei 9",571
"Minchat Ani on Torah, Masei 10",572
"Minchat Ani on Torah, Masei 11",573
"Minchat Ani on Torah, Masei 12",574
"Minchat Ani on Torah, Masei 13",575
"Minchat Ani on Torah, Masei 14",576
"Minchat Ani on Torah, Masei 15",577
"Minchat Ani on Torah, Masei 16",578
"Minchat Ani on Torah, Devarim 1",580
"Minchat Ani on Torah, Devarim 2",581
"Minchat Ani on Torah, Devarim 3",582
"Minchat Ani on Torah, Devarim 4",583
"Minchat Ani on Torah, Devarim 5",584
"Minchat Ani on Torah, Devarim 6",585
"Minchat Ani on Torah, Devarim 7",586
"Minchat Ani on Torah, Devarim 8",587
"Minchat Ani on Torah, Devarim 9",588
"Minchat Ani on Torah, Devarim 10",589
"Minchat Ani on Torah, Devarim 11",590
"Minchat Ani on Torah, Devarim 12",591
"Minchat Ani on Torah, Devarim 13",592
"Minchat Ani on Torah, Vaetchanan 1",594
"Minchat Ani on Torah, Vaetchanan 2",595
"Minchat Ani on Torah, Vaetchanan 3",596
"Minchat Ani on Torah, Vaetchanan 4",597
"Minchat Ani on Torah, Vaetchanan 5",598
"Minchat Ani on Torah, Vaetchanan 6",599
"Minchat Ani on Torah, Vaetchanan 7",600
"Minchat Ani on Torah, Vaetchanan 8",601
"Minchat Ani on Torah, Vaetchanan 9",602
"Minchat Ani on Torah, Vaetchanan 10",603
"Minchat Ani on Torah, Vaetchanan 11",604
"Minchat Ani on Torah, Vaetchanan 12",605
"Minchat Ani on Torah, Eikev 1",607
"Minchat Ani on Torah, Eikev 2",608
"Minchat Ani on Torah, Eikev 3",609
"Minchat Ani on Torah, Eikev 4",610
"Minchat Ani on Torah, Eikev 5",611
"Minchat Ani on Torah, Eikev 6",612
"Minchat Ani on Torah, Eikev 7",613
"Minchat Ani on Torah, Eikev 8",614
"Minchat Ani on Torah, Eikev 9",615
"Minchat Ani on Torah, Eikev 10",616
"Minchat Ani on Torah, Eikev 11",617
"Minchat Ani on Torah, Eikev 12",618
"Minchat Ani on Torah, Re'eh 1",620
"Minchat Ani on Torah, Re'eh 2",621
"Minchat Ani on Torah, Re'eh 3",622
"Minchat Ani on Torah, Re'eh 4",623
"Minchat Ani on Torah, Re'eh 5",624
"Minchat Ani on Torah, Re'eh 6",625
"Minchat Ani on Torah, Re'eh 7",626
"Minchat Ani on Torah, Re'eh 8",627
"Minchat Ani on Torah, Re'eh 9",628
"Minchat Ani on Torah, Re'eh 10",629
"Minchat Ani on Torah, Re'eh 11",630
"Minchat Ani on Torah, Re'eh 12",631
"Minchat Ani on Torah, Re'eh 13",632
"Minchat Ani on Torah, Re'eh 14",633
"Minchat Ani on Torah, Re'eh 15",634
"Minchat Ani on Torah, Re'eh 16",635
"Minchat Ani on Torah, Re'eh 17",636
"Minchat Ani on Torah, Re'eh 18",637
"Minchat Ani on Torah, Re'eh 19",638
"Minchat Ani on Torah, Shoftim 1",640
