MefareshDesc,AuthorName
מוסר השכל,"מר' יחזקאל פייוויל מק""ק פאלאנגי (תקט""ו-תקצ""ג)"
מוסר ודעת,"מר' שלמה זאב ב""ר יחזקאל פיביל מגיד מוילנא (תקמ""ט-תרכ""ז)"
שערי דעה,"ר' שבתי ב""ר יעקב חיים סופר (תרכ""א-תרנ""ט)"
גושפנקא דמלכא,מר' פארוז קרסינטי
הגהות עמק המלך,"מר' אברהם אביש אב""ד פראנקפורט (ת""נ בערך-תקכ""ט)"
הליכות עולם,"מר' דוב בער קרסיק (נלב""ע תר""נ בערך)"
לב מבין,"מר' בכור יצחק ב""ר יעקב נאבארו (נלב""ע תקצ""א)"
זכרון יעקב,"ר' יעקב ב""ר יהודה בנדיטמאן (נלב""ע תרכ""א)"
נוה צדק,מר' סעדיא הלוי מירקאדו
סדר הלכה,"מר' דוד שלמה (דוידל) חריף (נלב""ע תרל""ג)"
מצא חן,מר' אליהו חאקו השני
"חידושים והגהות מהגאון מוהר""ר ישעיה פיק","מר' ישעיה פיק (תע""ט-תקנ""ט)"
אהלי יאודה,"יאושע יאודה ב""ר רפאל יצחק אמאדו (תק""כ-תק""ע בערך)"
בנין יהושע,"מר' יהושע לאנג (תקצ""ז-תרס""ח)"
חוקי חיים,"מר' חיים אברהם גאגין (נלב""ע תר""ח)"
צרור החיים,"מר' חיים יעקב מצפת (ת""מ-ת""ק בערך)"
שהם וישפה,"מר' דוד ב""ר ישראל צבי אורטינבערג (נלב""ע תר""ע)"
"חפץ חיים על הרמב""ם","מר' ישראל מאיר הכהן מראדין (תקצ""ח-תרצ""ג)"
לשון ערומים,"מר' ברזלי ב""ר יעבץ (נלב""ע תק""כ)"
"שאלות ותשובות הרמב""ם","מהרמב""ם"
בארות המים,"מר' יצחק ב""ר אליהו שאנג'י (נלב""ע תקי""ט)"
משנה כסף,"מר' חיים דוד שירירו (תק""ט-תקפ""ו)"
תורת משה,"מר' משה ב""ר יהושע צונצין"
אור יקרות,"מר' מאיר יצחקי (ת""נ-תק""י בערך)"
בית המלך 1,"מר' יוסף ן' חסון (נלב""ע תקכ""ב)"
ימי שלמה,"שלמה קמחי (נלב""ע תרנ""ג)"
כפי אהרן,"מר' אהרן עזריאל (נלב""ע תרל""ט)"
קול בן לוי,"מר' רפאל הלוי (נלב""ע תקי""ב)"
קרבן אשה,"מר' אליהו ב""ר יוסף שמאע (נלב""ע תקע""ד)"
שלמי תודה,"ר' שלמה דאנה (נלב""ע תרע""ג)"
בני חיי,"מר' חיים ב""ר מנחם אלגאזי (נלב""ע ת""ע בערך)"
סוכת דוד,"מר' חיים שלמה פירנאנדיס דיאס (נלב""ע תקל""א)"
ידי אליהו,"מר' אליהו גאליפאפה (נלב""ע תקכ""ח)"
מלך שלם,"מר' שמואל שלם (נלב""ע תקכ""ז)"
כרוב ממשח,"מר' שלמה ור' חיים בני ר' מסעוד אלפסי (נלב""ע תקס""א)"
זרע אברהם,"מר' אברהם כטורזא (נלב""ע תקמ""א)"
יד יצחק,"מר' יצחק צבי ב""ר יעקב קאפיל הכהן מקאוונא (נלב""ע תרפ""א)"
"שו""ת ר' יהושע הנגיד","מר' יהושע הנגיד נכד הרמב""ם (ה'ע-ה' קט""ו)"
רוח אליהו,"מר' אליהו חאקו הראשון (נלב""ע תקי""ד)"
יוסף חי,"ר' יוסף זרקא (תפ""ב-תקנ""ח)"
עדות ביהוסף,"ר' יוסף אלמושנינו (שצ""ז-תמ""ט)"
עין תרשיש,"מר' יהושע זעליג ב""ר ישעיה בינוש תרשיש סג""ל (תרכ""ב-תרצ""ט)"
מאמר המלך,מר' רפאל אברהם מצליח
אשר לשלמה,"מר' שלמה יפה אשכנזי (ת""ר-תרל""ו בערך)"
"שאלות ותשובות לרבינו אברהם בן הרמב""ם","מר' אברהם בן הרמב""ם"
ידיו של משה,"מר' משה פריסקו (נלב""ע תקס""ח)"
בית מועד,"מר' יצחק גאטינייו מח""ס בית ישחק (נלב""ע תק""ס)"
עץ חיים,"ר' חיים אבואלעפיא (נלב""ע תק""ד)"
פרשת הכסף,"ר' שמואל סורנאגה (חי בסביבות תק""כ)"
נוה שלום 2,"שלום הכהן שולאל (ת""פ-תק""ן בערך)"
חק נתן,"נתן ב""ר אברהם בורגיל (נלב""ע תקנ""ב)"
ישועות מלכו,"מר' ישראל יהושע ב""ר דוד טראנק (תקפ""א-תרנ""ג)"
יתר הבז,"מר' נהוראי גרמון (נלב""ע תקמ""ג)"
נתיבות החיים,"יוסף אליהו וינוגרד (תרי""ד-תרע""ח)"
אברהם יגל,"מר' אברהם הכהן אב""ד תוניס (תק""ע בערך-ת""ר)"
מרפא לשון,"מר' רפאל ארדיט (נלב""ע תקצ""ז)"
צמח דוד,"מר' דוד נג'אר (חי בסביבות תק""ס)"
שער יאודה,"מהרב יאודה אלגאוי (נלב""ע ש""כ)"
"שו""ת ברוך השם","משה ב""ר יעקב יוסף ראטמאן (תר""ה-תרע""ה בערך)"
הליכות אליהו,"מר' אליהו ב""ר מהר""א הלוי פיינשטיין (נלב""ע תרפ""ט)"
אהל משה,"אלעזר משה הלוי הורוויץ אב""ד פינסק (תקע""ח-תר""ן)"
באר אברהם,"ר' אברהם שמעון טרויב (תקע""ה-תרל""ו)"
דברי שמואל,"שמואל אידלזאק מיאנישוק ליטא (תרכ""ב-תש""ז)"
צדקה לחיים,"מר' חיים ב""ר נהוראי ג'רמון (נלב""ע תקמ""ה)"
גירסא דינקותא,"מר' חיים נסים רפאל מוצירי (נלב""ע תקס""ב)"
ימין המלך,"ר' בנימין ב""ר ברוך סורוצקין (בחיים)"
מים שאל,"משה מרדכי ב""ר רפאל מיוחס בכר שמואל (נלב""ע תקס""ו)"
בני יוסף,"מר' יוסף ב""ר שלום הכהן טנוג'י (נלב""ע תק""ן בערך)"
בית אל,"אריה ליביש סג""ל נתנזון (תקמ""ד-תרל""ג)"
הדרך לתשובה,"מהרה""ג ר' משה שטרנבוך שליט""א (בחיים)"
מירא דכייא,מהרב מרדכי ברוך קארבאליו
שמחת עולם,"מר' חיים שבתי לאגו (נלב""ע תקל""ג)"
בתי כהונה,"מר' יצחק ב""ר יהודה רפפורט (נלב""ע תקט""ו)"
מחנה ישראל,"מר' אליהו ישראל (נלב""ע תקמ""ד)"
